complaint_id,ward_id,date,category,status,resolution_time_hours
C00001,W01,2026-06-08,noise,open,32.6
C00002,W01,2026-06-08,roads,open,33.2
C00003,W01,2026-06-08,electricity,open,14.0
C00004,W01,2026-06-08,electricity,in_progress,41.1
C00005,W01,2026-06-08,roads,closed,36.2
C00006,W01,2026-06-08,electricity,open,14.4
C00007,W01,2026-06-08,public safety,closed,26.7
C00008,W01,2026-06-09,noise,open,42.4
C00009,W01,2026-06-09,roads,closed,25.0
C00010,W01,2026-06-09,roads,in_progress,40.3
C00011,W01,2026-06-09,sanitation,open,25.4
C00012,W01,2026-06-09,noise,closed,44.0
C00013,W01,2026-06-10,water,closed,39.2
C00014,W01,2026-06-10,sanitation,in_progress,45.3
C00015,W01,2026-06-10,public safety,closed,40.5
C00016,W01,2026-06-10,noise,closed,36.9
C00017,W01,2026-06-10,public safety,open,40.0
C00018,W01,2026-06-10,noise,open,52.3
C00019,W01,2026-06-10,water,in_progress,12.8
C00020,W01,2026-06-10,water,closed,39.2
C00021,W01,2026-06-11,noise,open,24.5
C00022,W01,2026-06-11,public safety,closed,15.9
C00023,W01,2026-06-11,sanitation,closed,23.6
C00024,W01,2026-06-11,roads,open,22.0
C00025,W01,2026-06-11,water,in_progress,31.0
C00026,W01,2026-06-11,public safety,closed,66.6
C00027,W01,2026-06-11,roads,closed,24.2
C00028,W01,2026-06-12,sanitation,open,46.0
C00029,W01,2026-06-12,water,in_progress,12.2
C00030,W01,2026-06-12,sanitation,open,50.5
C00031,W01,2026-06-12,public safety,in_progress,25.6
C00032,W01,2026-06-12,roads,closed,5.9
C00033,W01,2026-06-12,public safety,in_progress,35.1
C00034,W01,2026-06-12,roads,in_progress,49.8
C00035,W01,2026-06-12,electricity,in_progress,52.8
C00036,W01,2026-06-12,public safety,closed,18.3
C00037,W01,2026-06-12,noise,open,43.1
C00038,W01,2026-06-12,roads,closed,11.5
C00039,W01,2026-06-13,sanitation,open,17.7
C00040,W01,2026-06-13,water,closed,17.2
C00041,W01,2026-06-13,sanitation,in_progress,4.0
C00042,W01,2026-06-13,electricity,in_progress,66.6
C00043,W01,2026-06-13,electricity,open,32.1
